x,y,label
-19.273006,-18.236898,1
-20.106840,-20.714056,1
-21.396553,-22.397873,1
-19.971451,-19.914267,1
-23.340874,-21.380371,1
-19.132172,-18.845669,1
-19.825857,-18.732992,1
-18.611925,-19.220081,1
-19.958902,-16.204123,1
-21.068361,-22.118330,1
-19.520510,-21.824116,1
-21.678938,-21.415003,1
-21.750048,-20.632618,1
-20.564772,-20.280151,1
-18.975658,-18.872900,1
-16.006287,-16.797953,1
-19.279976,-16.516487,1
-19.447382,-18.647667,1
-21.705660,-22.273428,1
-19.209906,-16.161621,1
-19.562599,-19.214075,1
-19.115738,-22.547071,1
-20.283031,-22.401785,1
-21.603394,-16.701429,1
-22.389591,-17.534647,1
-19.605412,-19.394312,1
-17.305689,-17.704512,1
-18.952147,-20.056532,1
-23.052507,-16.953863,1
-21.923649,-23.568487,1
-19.966436,-20.191952,1
-25.147478,-18.163622,1
-18.848207,-22.246685,1
-21.912220,-22.403208,1
-19.410757,-14.029658,1
-19.047741,-21.918800,1
-21.389719,-20.069874,1
-17.924042,-18.316652,1
-19.461767,-20.500753,1
-17.816269,-23.197550,1
-22.613705,-16.335192,1
-15.709062,-20.107651,1
-20.028360,-21.324610,1
-17.025904,-21.811384,1
-19.428827,-16.538258,1
-20.802187,-18.521439,1
-18.092472,-21.301010,1
-17.482042,-22.077326,1
-21.518637,-19.828821,1
-18.999596,-20.153322,1
-21.729403,-22.822535,1
-18.776991,-18.484190,1
-22.726309,-18.634342,1
-18.528240,-16.513433,1
-23.814222,-20.539841,1
-21.117804,-17.554611,1
-17.261354,-20.112684,1
-21.835781,-19.977228,1
-25.218142,-20.793831,1
-24.074823,-17.421249,1
-23.143126,-19.197224,1
-19.928205,-18.193130,1
-21.780348,-21.620838,1
-20.777828,-21.257767,1
-19.079102,-18.288647,1
-20.104469,-21.746962,1
-17.221464,-21.210709,1
-20.988316,-18.124233,1
-19.801889,-20.821211,1
-19.534725,-21.476622,1
-20.071125,-19.528416,1
-21.366579,-22.389223,1
-18.766144,-19.697027,1
-17.102060,-20.577639,1
-22.400558,-20.497776,1
-21.581104,-20.731348,1
-23.058916,-22.082314,1
-21.379889,-17.966867,1
-19.953770,-20.939945,1
-17.290646,-20.199318,1
-21.751616,-20.008287,1
-20.237337,-19.367878,1
-19.273304,-20.401630,1
-20.876577,-21.381332,1
-18.467884,-21.833281,1
-19.334244,-23.031387,1
-18.205667,-20.226101,1
-18.072586,-17.432817,1
-18.868662,-22.188620,1
-23.214687,-20.291599,1
-21.520283,-19.730303,1
-20.647257,-20.868069,1
-16.763781,-17.868982,1
-18.870966,-19.172895,1
-20.899836,-23.325205,1
-20.125490,-16.059044,1
-19.948315,-20.226505,1
-20.985746,-19.207691,1
-21.494516,-17.901596,1
-21.424480,-18.893015,1
19.330572,23.334923,2
19.076242,17.903366,2
17.003876,21.214775,2
17.942818,23.373343,2
21.548704,20.216637,2
19.668539,17.805559,2
19.712284,19.267340,2
19.933546,21.343885,2
19.544945,18.593451,2
23.547274,18.024418,2
23.610558,18.086166,2
19.384541,17.991869,2
21.565889,17.341721,2
20.545673,20.470755,2
21.637041,18.429468,2
22.788446,19.697090,2
19.043758,22.831326,2
19.080158,17.459772,2
19.411463,19.288116,2
16.745100,19.799587,2
22.978640,23.347134,2
22.745605,21.686769,2
23.203720,23.670969,2
18.339638,18.904366,2
22.733065,22.860090,2
19.990347,23.298260,2
23.352987,22.877542,2
15.544602,20.484856,2
20.633209,20.310406,2
18.326778,20.398083,2
15.601773,19.641373,2
20.383541,19.469198,2
21.566906,22.240324,2
16.003460,15.345694,2
24.656172,19.997345,2
18.902374,24.500895,2
17.446514,21.254473,2
16.308392,20.997145,2
18.907425,22.531479,2
19.586567,19.978498,2
21.690933,22.253351,2
21.391872,20.479921,2
20.495062,20.499895,2
21.811054,20.037962,2
18.948772,18.770332,2
17.448023,18.386272,2
18.560572,18.641565,2
18.759224,18.952091,2
22.809591,19.870365,2
21.730530,20.206852,2
21.747211,19.415422,2
18.017395,21.996534,2
20.965275,18.852463,2
20.490568,19.547546,2
21.181803,17.695719,2
17.956367,16.513939,2
19.035412,19.573578,2
21.556646,18.234833,2
21.943691,20.811291,2
24.047928,23.982468,2
17.391184,20.908258,2
24.404493,21.705217,2
23.095797,21.011501,2
20.060051,18.185169,2
18.892435,21.331051,2
22.731911,23.511448,2
20.766430,16.468306,2
21.491127,21.024410,2
21.547754,21.474819,2
18.301228,17.149063,2
20.065823,19.765661,2
20.383244,19.306993,2
22.803959,17.425144,2
22.607939,18.953796,2
19.236757,21.524412,2
17.719286,19.527645,2
21.416143,20.888899,2
20.304241,20.326063,2
20.250257,17.843079,2
19.823011,20.090540,2
21.227425,18.647474,2
16.524626,20.892656,2
20.595514,17.416897,2
19.101223,19.693617,2
22.566935,17.687717,2
21.568768,20.514551,2
18.576241,18.716507,2
20.556465,19.467607,2
21.950426,18.150581,2
20.748312,18.906170,2
17.541225,19.908701,2
21.515520,17.660028,2
19.777306,21.490993,2
20.304722,19.606697,2
21.931269,17.973715,2
19.602133,19.245253,2
18.731007,23.805851,2
19.628065,18.700085,2
22.001547,20.319427,2
20.203075,17.319389,2
-18.617575,18.036608,3
-19.908792,19.786131,3
-18.557667,22.903929,3
-20.085892,21.550373,3
-18.093384,21.343485,3
-18.495819,19.800041,3
-17.854652,19.458189,3
-19.054684,20.946098,3
-22.068365,22.729412,3
-20.032385,20.115705,3
-18.614168,20.741056,3
-21.066965,23.224758,3
-20.224363,18.115860,3
-18.623226,23.838165,3
-21.283504,22.417614,3
-18.952240,19.282459,3
-20.556253,20.397758,3
-19.322325,20.775684,3
-21.630856,21.164314,3
-20.331942,17.556469,3
-20.012146,17.773069,3
-21.269850,20.334177,3
-20.670612,20.515076,3
-21.193626,18.576504,3
-19.354887,19.944120,3
-16.684109,18.406416,3
-23.092144,20.323269,3
-23.102770,20.321615,3
-20.480539,20.628531,3
-17.476730,19.687429,3
-19.597099,19.113819,3
-25.100286,22.171484,3
-18.446600,20.187904,3
-22.231340,20.534206,3
-20.706060,19.547676,3
-17.975063,19.742628,3
-18.125648,22.479574,3
-20.855534,20.694702,3
-19.767572,19.658159,3
-20.610622,19.430464,3
-18.123713,20.257381,3
-22.408209,19.717518,3
-18.540260,20.186836,3
-18.897629,20.482231,3
-18.937368,16.589590,3
-21.920227,21.811504,3
-20.871193,19.154253,3
-21.524530,19.946390,3
-19.059942,22.855661,3
-21.479326,17.974886,3
-22.336599,19.491373,3
-20.576731,18.649609,3
-21.777765,18.304485,3
-20.422045,21.278055,3
-22.313568,21.070759,3
-22.071070,17.599630,3
-17.826841,18.696695,3
-20.790771,20.371059,3
-25.090117,19.281775,3
-18.848318,20.131033,3
-20.372850,18.787510,3
-19.017361,22.232304,3
-21.223097,22.433735,3
-17.779327,17.921841,3
-23.037975,21.479715,3
-20.952253,16.672560,3
-25.056608,17.870186,3
-20.128733,21.117294,3
-19.740852,20.631538,3
-18.571663,20.687944,3
-20.100853,18.250492,3
-19.008459,17.606915,3
-19.120899,20.533213,3
-19.812984,19.766201,3
-19.999893,18.243992,3
-15.370104,19.170404,3
-20.627205,18.282766,3
-17.967169,16.536875,3
-18.893303,20.550993,3
-18.711689,21.329453,3
-20.514622,19.024273,3
-22.272871,17.830835,3
-21.089283,23.044235,3
-21.951584,19.927143,3
-19.805529,22.935116,3
-20.048834,19.944897,3
-19.617765,18.534025,3
-18.238369,19.025833,3
-23.497686,22.313627,3
-22.859720,22.474504,3
-17.534889,18.329914,3
-20.458475,19.484003,3
-18.369287,17.786322,3
-24.345110,19.970297,3
-16.450869,22.309626,3
-21.199995,21.859776,3
-19.656279,20.765738,3
-19.582291,21.689415,3
-19.183451,19.168222,3
-19.812763,20.516115,3
22.373617,-21.615250,4
19.798035,-17.740324,4
20.160990,-19.994064,4
21.366131,-17.761883,4
19.524372,-21.908388,4
20.273968,-21.131231,4
19.276924,-20.230379,4
19.850748,-21.480358,4
21.013988,-19.377150,4
21.705191,-21.241287,4
20.895216,-20.746758,4
19.896133,-19.311989,4
20.625549,-21.467411,4
21.661100,-20.527571,4
18.867861,-19.326777,4
20.418697,-20.230490,4
16.675886,-19.990192,4
16.758511,-18.314608,4
19.448870,-16.276436,4
22.906561,-18.215399,4
18.503981,-19.794268,4
19.103783,-19.349871,4
20.662956,-19.357391,4
19.439323,-19.861893,4
19.562904,-23.476225,4
20.331312,-18.236757,4
21.286196,-18.947962,4
18.108425,-22.631388,4
19.543530,-18.592604,4
20.753416,-20.828068,4
18.988049,-18.431791,4
22.452662,-22.058619,4
15.250061,-20.813993,4
21.400356,-18.020811,4
21.445240,-20.524057,4
21.967600,-19.595413,4
19.145107,-22.091618,4
20.609447,-18.615778,4
18.934263,-19.278601,4
20.638407,-19.132397,4
21.979717,-20.860773,4
21.345436,-21.551914,4
19.709230,-20.440411,4
18.634401,-18.589302,4
22.912706,-21.259153,4
19.159779,-20.013075,4
19.162012,-20.826120,4
15.679639,-19.006166,4
23.522970,-18.563690,4
22.265545,-18.972591,4
20.562248,-17.141731,4
16.820915,-20.479115,4
19.272337,-20.846081,4
20.316927,-19.513287,4
21.031498,-21.024727,4
18.644829,-23.586676,4
20.813574,-19.795513,4
21.071222,-19.089672,4
20.057116,-17.443901,4
22.523375,-19.196945,4
22.527836,-20.242264,4
19.627874,-23.818497,4
18.626554,-19.038309,4
18.023460,-20.806376,4
17.744909,-18.978426,4
22.578773,-23.814505,4
21.861984,-19.316986,4
21.770973,-21.551571,4
19.393866,-21.954268,4
19.827011,-18.588882,4
22.769396,-21.225636,4
19.637463,-21.229437,4
20.683222,-23.551760,4
20.646320,-18.804033,4
21.462564,-20.070477,4
19.144016,-17.018234,4
19.633253,-24.974894,4
20.004168,-20.151850,4
18.082174,-20.680477,4
20.779177,-19.105427,4
19.335491,-17.766479,4
22.471100,-21.053638,4
19.233330,-20.218700,4
23.237040,-20.776234,4
19.279995,-16.973610,4
15.974564,-17.198347,4
20.440880,-19.349621,4
18.684610,-23.353325,4
22.086294,-20.887840,4
19.173599,-16.751476,4
20.814074,-19.809130,4
20.339029,-19.208088,4
22.066999,-17.697887,4
20.733316,-19.669151,4
21.702116,-19.462605,4
18.933308,-17.509802,4
22.110291,-21.050501,4
23.154833,-21.108927,4
20.128706,-22.070337,4
20.811968,-16.568813,4
