x,y,label
30,21,0
24,3,0
38,11,0
24,7,0
23,63,0
26,13,0
36,12,0
37,17,0
34,13,0
23,15,0
30,17,0
33,13,0
33,10,0
24,14,0
32,5,0
28,9,0
32,10,0
37,10,0
20,9,0
29,8,0
31,11,0
25,13,0
33,7,0
29,22,0
25,15,0
29,20,0
23,8,0
29,62,0
29,9,0
38,17,0
23,0,0
26,0,0
36,13,0
15,14,0
35,13,0
23,9,0
25,6,0
38,16,0
34,7,0
22,13,0
25,11,0
40,18,0
33,14,0
20,63,0
22,2,0
27,14,0
37,16,0
21,7,0
33,5,0
26,6,0
26,9,0
31,6,0
26,14,0
22,0,0
22,3,0
19,0,0
28,59,0
31,6,0
26,11,0
28,8,0
24,15,0
26,15,0
22,63,0
25,3,0
25,2,0
24,12,0
33,12,0
26,16,0
24,13,0
32,11,0
26,5,0
32,12,0
34,11,0
23,13,0
22,1,0
29,21,0
34,14,0
23,2,0
39,19,0
29,10,0
33,17,0
32,13,0
34,12,0
36,8,0
21,0,0
25,12,0
35,11,0
11,3,0
31,14,0
24,63,0
31,18,0
33,6,0
30,10,0
39,18,0
35,16,0
28,60,0
34,5,0
30,9,0
22,62,0
36,16,0
49,63,1
52,9,1
61,11,1
49,11,1
48,6,1
52,0,1
56,7,1
62,9,1
37,63,1
46,13,1
41,0,1
53,7,1
44,15,1
41,53,1
59,9,1
46,15,1
53,14,1
50,7,1
57,11,1
52,16,1
49,6,1
52,13,1
45,14,1
50,15,1
59,8,1
56,7,1
46,7,1
63,13,1
45,13,1
50,13,1
42,62,1
60,8,1
51,63,1
54,9,1
48,5,1
47,14,1
39,56,1
50,11,1
55,6,1
46,9,1
43,63,1
63,11,1
53,8,1
55,10,1
53,9,1
42,63,1
57,7,1
53,10,1
44,12,1
51,17,1
49,18,1
54,7,1
44,0,1
41,3,1
53,13,1
0,14,1
60,12,1
51,11,1
36,0,1
53,11,1
56,9,1
52,7,1
40,54,1
58,7,1
57,8,1
54,10,1
52,14,1
60,10,1
51,63,1
42,1,1
51,13,1
45,11,1
44,14,1
49,10,1
37,59,1
61,11,1
51,15,1
54,12,1
56,10,1
51,14,1
55,9,1
59,10,1
52,12,1
50,14,1
52,15,1
0,11,1
44,16,1
50,8,1
58,8,1
50,10,1
47,15,1
36,63,1
52,5,1
42,61,1
38,57,1
47,8,1
62,10,1
42,0,1
46,14,1
52,16,1
45,22,2
59,21,2
57,43,2
43,23,2
2,30,2
56,19,2
55,19,2
1,29,2
62,18,2
56,18,2
46,25,2
55,30,2
3,30,2
48,30,2
55,20,2
56,24,2
6,30,2
61,51,2
2,29,2
56,22,2
55,18,2
2,28,2
53,27,2
53,28,2
47,24,2
62,19,2
54,27,2
56,26,2
62,48,2
53,30,2
63,18,2
55,27,2
44,23,2
1,27,2
54,32,2
60,17,2
63,28,2
57,18,2
57,15,2
59,20,2
58,30,2
55,16,2
47,23,2
55,21,2
54,31,2
58,42,2
52,32,2
59,19,2
58,42,2
1,28,2
63,21,2
55,32,2
58,29,2
62,52,2
56,17,2
44,22,2
62,47,2
60,50,2
2,28,2
57,46,2
48,24,2
56,25,2
62,44,2
58,47,2
2,32,2
58,43,2
57,20,2
56,16,2
45,23,2
60,55,2
54,20,2
56,31,2
54,29,2
59,25,2
51,33,2
55,23,2
62,49,2
61,18,2
46,24,2
1,30,2
51,32,2
45,24,2
61,44,2
56,21,2
55,28,2
3,31,2
61,50,2
56,23,2
2,31,2
54,30,2
57,23,2
55,15,2
58,49,2
62,28,2
61,50,2
58,26,2
57,42,2
58,48,2
59,47,2
48,25,2
36,45,3
33,30,3
9,10,3
0,3,3
2,1,3
5,0,3
37,44,3
38,50,3
16,63,3
37,47,3
15,12,3
46,57,3
34,56,3
39,48,3
7,11,3
15,0,3
43,54,3
36,55,3
46,56,3
39,51,3
7,10,3
34,52,3
0,2,3
35,47,3
35,45,3
14,0,3
47,54,3
37,31,3
40,39,3
2,0,3
11,7,3
35,44,3
7,1,3
41,37,3
40,50,3
6,0,3
35,43,3
38,31,3
37,38,3
1,1,3
37,46,3
40,37,3
39,37,3
46,56,3
49,52,3
14,13,3
8,10,3
38,49,3
4,2,3
14,12,3
48,52,3
34,46,3
0,14,3
38,39,3
41,34,3
40,38,3
47,57,3
5,63,3
17,2,3
40,48,3
41,50,3
43,53,3
35,55,3
47,53,3
13,14,3
14,61,3
39,40,3
9,9,3
41,39,3
36,44,3
40,51,3
34,47,3
36,47,3
46,54,3
19,61,3
45,54,3
63,2,3
37,32,3
16,1,3
35,46,3
9,12,3
0,1,3
37,50,3
5,1,3
8,11,3
8,11,3
40,49,3
1,2,3
36,56,3
45,53,3
45,56,3
6,0,3
6,10,3
39,49,3
36,46,3
48,53,3
4,1,3
6,2,3
40,40,3
7,9,3
