x,y,label
61,40,0
54,61,0
48,37,0
55,0,0
46,40,0
48,36,0
0,35,0
60,40,0
55,61,0
62,41,0
48,38,0
48,40,0
47,40,0
56,0,0
50,39,0
63,33,0
49,61,0
46,32,0
58,34,0
48,39,0
63,34,0
62,33,0
50,62,0
45,31,0
53,40,0
48,42,0
58,35,0
45,32,0
1,36,0
57,35,0
54,62,0
52,63,0
49,39,0
63,31,0
56,1,0
54,63,0
53,62,0
47,39,0
0,37,0
54,40,0
63,58,1
57,54,1
4,59,1
12,3,1
48,63,1
57,53,1
46,59,1
47,62,1
53,53,1
51,51,1
49,40,1
47,61,1
49,52,1
46,57,1
3,2,1
45,58,1
51,53,1
5,1,1
60,59,1
52,51,1
63,61,1
8,61,1
4,2,1
17,4,1
18,4,1
47,2,1
50,53,1
4,60,1
45,61,1
51,52,1
50,52,1
62,59,1
63,2,1
46,31,1
46,62,1
58,52,1
3,58,1
46,60,1
47,60,1
6,0,1
48,62,2
49,62,2
43,60,2
49,2,2
61,10,2
39,59,2
3,12,2
48,0,2
48,3,2
23,41,2
42,61,2
47,1,2
43,62,2
48,7,2
3,13,2
51,0,2
61,8,2
59,10,2
45,39,2
46,39,2
42,60,2
44,62,2
41,59,2
50,0,2
45,62,2
48,5,2
43,59,2
2,35,2
46,38,2
2,14,2
62,8,2
48,4,2
59,30,2
40,59,2
1,14,2
49,4,2
46,1,2
42,59,2
60,10,2
48,1,2
57,11,3
56,38,3
50,31,3
0,15,3
56,35,3
47,7,3
57,38,3
47,38,3
55,32,3
57,36,3
60,8,3
48,2,3
58,12,3
58,13,3
50,32,3
57,37,3
55,37,3
47,6,3
2,32,3
49,5,3
51,34,3
46,23,3
2,33,3
53,34,3
52,35,3
44,23,3
56,34,3
56,11,3
49,30,3
54,14,3
48,6,3
58,10,3
56,39,3
47,42,3
45,23,3
1,32,3
61,9,3
58,32,3
58,40,3
52,34,3
55,11,4
60,46,4
41,38,4
58,44,4
0,44,4
59,42,4
55,22,4
60,41,4
57,44,4
18,48,4
55,23,4
1,43,4
61,46,4
53,12,4
1,45,4
61,13,4
61,38,4
1,44,4
59,41,4
56,23,4
43,38,4
59,38,4
42,38,4
56,22,4
53,13,4
62,12,4
58,47,4
58,43,4
54,13,4
51,13,4
61,12,4
2,44,4
62,39,4
54,11,4
43,39,4
60,13,4
56,37,4
58,39,4
56,25,4
51,12,4
63,54,5
57,17,5
8,58,5
8,41,5
56,20,5
9,58,5
0,51,5
62,51,5
62,52,5
53,18,5
56,19,5
12,52,5
10,52,5
17,55,5
0,22,5
21,56,5
56,41,5
16,46,5
2,54,5
2,51,5
57,41,5
55,16,5
53,17,5
6,59,5
0,54,5
3,50,5
58,18,5
10,53,5
62,16,5
0,17,5
0,42,5
57,19,5
19,55,5
14,47,5
54,16,5
3,51,5
62,17,5
8,57,5
58,15,5
57,42,5
60,22,6
53,25,6
18,61,6
7,57,6
3,48,6
1,18,6
53,23,6
53,20,6
7,58,6
12,0,6
59,23,6
53,22,6
7,56,6
51,25,6
54,24,6
5,56,6
7,46,6
1,48,6
6,55,6
2,46,6
4,47,6
62,4,6
51,26,6
0,28,6
54,25,6
51,20,6
52,24,6
51,22,6
11,1,6
51,27,6
60,53,6
9,56,6
7,48,6
58,22,6
2,49,6
9,57,6
58,23,6
59,52,6
5,51,6
51,28,6
63,56,7
11,36,7
48,60,7
9,43,7
58,55,7
49,59,7
3,40,7
7,32,7
48,59,7
12,35,7
17,52,7
7,37,7
59,20,7
6,33,7
50,56,7
2,48,7
57,59,7
59,53,7
50,59,7
57,57,7
54,58,7
51,56,7
60,49,7
62,56,7
10,42,7
53,59,7
57,55,7
4,41,7
59,54,7
8,35,7
49,57,7
56,57,7
52,59,7
60,54,7
50,57,7
56,58,7
61,36,7
49,60,7
62,35,7
51,58,7
52,49,8
45,47,8
55,54,8
49,48,8
53,42,8
55,53,8
48,54,8
45,46,8
46,55,8
48,47,8
51,49,8
47,44,8
54,56,8
57,49,8
53,49,8
48,55,8
53,44,8
56,49,8
55,49,8
46,46,8
56,46,8
56,51,8
52,47,8
54,55,8
44,41,8
51,43,8
51,48,8
55,46,8
55,45,8
47,54,8
56,47,8
50,49,8
52,48,8
56,50,8
53,48,8
55,47,8
53,56,8
55,50,8
48,44,8
55,55,8
44,14,9
44,9,9
44,13,9
45,10,9
48,10,9
52,6,9
51,5,9
50,9,9
57,7,9
57,3,9
58,1,9
49,9,9
43,11,9
48,9,9
58,4,9
58,2,9
50,8,9
56,7,9
58,5,9
52,2,9
45,11,9
53,2,9
54,6,9
50,7,9
54,2,9
54,9,9
51,2,9
45,9,9
58,6,9
55,3,9
57,4,9
56,4,9
49,8,9
43,13,9
45,8,9
43,14,9
46,10,9
48,11,9
58,0,9
55,9,9
46,49,10
47,52,10
42,53,10
46,51,10
36,49,10
35,58,10
42,48,10
46,52,10
44,56,10
40,56,10
41,56,10
42,49,10
42,52,10
44,49,10
47,50,10
43,50,10
47,49,10
44,50,10
41,57,10
41,48,10
44,54,10
40,51,10
43,55,10
43,54,10
43,57,10
44,52,10
44,53,10
47,51,10
43,53,10
37,50,10
39,57,10
38,57,10
37,57,10
38,51,10
42,57,10
43,56,10
42,55,10
40,55,10
43,52,10
46,50,10
42,44,11
46,35,11
43,34,11
43,45,11
45,43,11
43,46,11
44,43,11
40,36,11
43,43,11
43,32,11
44,33,11
42,45,11
43,31,11
45,35,11
43,30,11
40,44,11
42,46,11
41,35,11
44,34,11
39,38,11
44,44,11
43,44,11
40,43,11
46,34,11
43,36,11
45,34,11
42,35,11
45,44,11
43,33,11
45,36,11
41,36,11
44,35,11
42,36,11
39,39,11
46,36,11
38,39,11
42,34,11
43,35,11
41,46,11
44,36,11
46,25,12
49,24,12
44,26,12
46,27,12
48,21,12
46,28,12
49,28,12
51,16,12
47,20,12
49,16,12
44,28,12
48,15,12
47,16,12
51,17,12
46,29,12
43,26,12
43,25,12
47,13,12
48,14,12
49,27,12
45,21,12
47,26,12
48,27,12
45,20,12
47,28,12
48,28,12
48,26,12
49,25,12
46,21,12
45,25,12
47,29,12
47,14,12
50,15,12
49,20,12
42,24,12
45,19,12
52,15,12
50,17,12
46,26,12
51,18,12
39,6,13
40,23,13
44,2,13
43,16,13
43,18,13
41,16,13
44,17,13
40,62,13
44,0,13
40,0,13
39,16,13
42,0,13
39,17,13
42,1,13
42,19,13
42,17,13
42,20,13
42,2,13
41,0,13
45,3,13
42,3,13
44,3,13
38,19,13
43,19,13
40,20,13
45,17,13
45,4,13
38,18,13
40,16,13
45,16,13
41,19,13
43,20,13
41,21,13
41,17,13
39,62,13
40,18,13
43,3,13
43,2,13
37,16,13
44,16,13
41,30,14
40,32,14
40,28,14
40,29,14
39,30,14
43,7,14
42,7,14
41,8,14
41,12,14
40,29,14
41,14,14
40,11,14
40,31,14
43,5,14
41,26,14
41,27,14
41,10,14
41,11,14
42,9,14
40,11,14
41,5,14
45,6,14
39,28,14
39,31,14
40,33,14
42,5,14
41,31,14
41,28,14
44,5,14
40,27,14
39,29,14
44,6,14
41,29,14
41,32,14
41,13,14
42,28,14
40,9,14
39,26,14
41,9,14
43,6,14
