x,y,label
17,29,0
29,28,0
3,27,0
16,30,0
4,33,0
21,28,0
18,25,0
1,27,0
3,22,0
2,25,0
19,25,0
22,31,0
4,27,0
27,30,0
4,29,0
2,28,0
3,24,0
10,31,0
26,33,0
4,23,0
10,34,0
11,33,0
25,31,0
7,22,0
23,31,0
29,33,0
17,26,0
4,32,0
3,35,0
4,26,0
3,25,0
4,24,0
26,29,0
23,29,0
61,26,0
56,30,0
18,32,0
8,26,0
16,32,0
3,26,0
0,20,0
9,24,0
25,28,0
8,24,0
18,26,0
22,32,0
20,25,0
5,28,0
3,23,0
2,27,0
3,19,0
29,32,0
27,34,0
29,34,0
0,32,0
7,26,0
24,29,0
4,31,0
7,23,0
2,18,0
23,28,0
2,35,0
5,30,0
17,33,0
23,30,0
24,30,0
17,25,0
0,20,0
29,28,0
2,24,0
0,20,0
21,31,0
7,27,0
6,26,0
0,34,0
25,29,0
29,31,0
20,24,0
4,30,0
27,29,0
28,32,0
2,19,0
16,29,0
4,25,0
4,22,0
14,29,0
27,33,0
0,25,0
6,25,0
22,29,0
15,32,0
1,28,0
17,30,0
28,30,0
5,29,0
1,34,0
7,30,0
3,32,0
0,26,0
30,32,0
35,2,1
25,10,1
29,16,1
36,15,1
41,63,1
39,4,1
18,1,1
35,4,1
35,4,1
19,2,1
22,14,1
29,22,1
22,12,1
39,3,1
31,22,1
24,15,1
26,15,1
19,1,1
43,2,1
37,0,1
37,17,1
44,0,1
36,17,1
23,11,1
35,16,1
39,0,1
35,17,1
32,17,1
33,14,1
19,4,1
34,14,1
41,1,1
20,1,1
16,62,1
28,11,1
29,23,1
31,17,1
32,14,1
42,4,1
31,13,1
42,2,1
37,16,1
22,11,1
34,19,1
16,2,1
40,5,1
24,9,1
30,14,1
42,5,1
24,10,1
31,15,1
17,1,1
24,14,1
30,23,1
26,14,1
34,16,1
33,13,1
29,20,1
30,22,1
34,13,1
18,2,1
23,13,1
31,18,1
36,3,1
19,0,1
41,62,1
28,21,1
33,17,1
34,20,1
32,13,1
27,14,1
28,14,1
44,3,1
29,12,1
36,16,1
35,15,1
22,11,1
22,9,1
18,63,1
28,15,1
18,0,1
43,0,1
43,4,1
38,3,1
32,24,1
17,0,1
31,14,1
16,63,1
40,2,1
35,12,1
39,6,1
30,12,1
28,20,1
25,14,1
29,14,1
40,1,1
20,5,1
23,10,1
42,3,1
20,63,1
61,10,2
61,8,2
4,59,2
0,8,2
60,10,2
1,5,2
56,46,2
53,46,2
52,43,2
3,44,2
58,37,2
0,9,2
60,9,2
0,48,2
60,48,2
1,52,2
61,60,2
43,44,2
53,44,2
0,49,2
50,46,2
57,39,2
55,43,2
45,47,2
0,57,2
63,9,2
56,45,2
0,9,2
1,59,2
44,45,2
54,43,2
57,45,2
63,9,2
45,45,2
55,45,2
45,46,2
63,50,2
52,50,2
60,59,2
0,10,2
2,6,2
53,43,2
46,44,2
55,47,2
0,59,2
55,35,2
7,45,2
57,44,2
63,62,2
63,7,2
57,38,2
3,48,2
0,45,2
54,42,2
2,43,2
2,8,2
44,43,2
4,52,2
53,48,2
56,37,2
58,38,2
63,57,2
55,32,2
57,32,2
1,8,2
49,46,2
62,61,2
0,6,2
2,10,2
60,60,2
62,63,2
2,44,2
60,8,2
56,39,2
53,42,2
54,37,2
62,8,2
46,47,2
59,63,2
61,62,2
57,37,2
54,33,2
54,47,2
0,57,2
54,48,2
63,8,2
1,6,2
53,36,2
55,49,2
2,43,2
61,59,2
5,60,2
55,34,2
57,40,2
6,57,2
52,49,2
2,49,2
0,7,2
53,47,2
54,49,2
48,37,3
38,28,3
36,43,3
37,43,3
38,46,3
47,37,3
38,43,3
34,53,3
34,45,3
33,53,3
40,27,3
39,21,3
31,40,3
33,54,3
37,26,3
35,46,3
40,49,3
41,28,3
36,52,3
42,28,3
41,50,3
43,48,3
42,27,3
29,42,3
34,48,3
39,49,3
36,21,3
45,29,3
43,28,3
39,21,3
31,50,3
38,32,3
36,47,3
40,34,3
34,50,3
35,40,3
35,52,3
33,50,3
40,31,3
37,55,3
33,47,3
35,49,3
35,41,3
37,51,3
32,51,3
36,42,3
43,27,3
37,46,3
39,44,3
36,48,3
37,48,3
47,40,3
38,27,3
53,34,3
33,43,3
38,26,3
37,45,3
39,45,3
37,49,3
41,29,3
33,52,3
37,20,3
48,36,3
36,23,3
36,51,3
37,47,3
36,45,3
37,29,3
42,47,3
37,52,3
40,33,3
38,49,3
41,49,3
35,48,3
38,45,3
40,29,3
40,21,3
34,44,3
39,22,3
34,43,3
49,38,3
36,23,3
40,35,3
36,55,3
39,47,3
49,35,3
37,42,3
41,34,3
41,35,3
33,48,3
36,44,3
35,43,3
32,46,3
37,27,3
36,56,3
39,31,3
36,49,3
32,50,3
38,22,3
37,44,3
