x,y,label
53,41,0
2,63,0
47,49,0
47,62,0
49,55,0
60,28,0
1,0,0
50,49,0
49,41,0
52,41,0
52,40,0
49,56,0
47,61,0
1,22,0
1,23,0
50,47,0
48,50,0
60,0,0
50,0,0
62,23,0
62,28,0
62,63,0
60,62,0
45,0,0
46,57,0
62,29,0
52,44,0
55,30,0
45,49,0
59,27,0
47,40,0
47,57,0
62,0,0
50,63,0
62,24,0
51,57,0
49,51,0
60,1,0
52,61,0
46,49,0
62,24,0
0,0,0
53,38,0
53,45,0
50,58,0
49,52,0
56,2,0
52,56,0
53,60,0
46,50,0
51,55,0
46,59,0
56,29,0
62,20,0
52,57,0
43,51,0
62,59,0
48,41,0
63,62,0
47,56,0
55,29,0
52,58,0
43,57,0
48,57,0
56,39,0
49,58,0
53,44,0
51,58,0
48,58,0
49,57,0
63,24,0
48,59,0
47,51,0
58,29,0
50,40,0
47,43,0
0,61,0
58,30,0
44,54,0
49,40,0
52,59,0
47,58,0
63,29,0
49,63,0
50,55,0
51,60,0
48,49,0
50,48,0
47,1,0
44,57,0
0,22,0
61,61,0
0,63,0
50,50,0
61,28,0
45,55,0
57,30,0
48,48,0
58,0,0
47,43,0
37,23,1
45,20,1
30,20,1
22,60,1
38,17,1
57,17,1
41,15,1
35,24,1
30,19,1
39,18,1
30,21,1
43,18,1
58,17,1
32,1,1
31,21,1
50,8,1
42,24,1
49,9,1
22,59,1
54,15,1
43,25,1
39,58,1
21,62,1
40,19,1
52,10,1
21,63,1
45,22,1
34,25,1
54,14,1
36,19,1
44,23,1
21,0,1
34,25,1
37,18,1
31,1,1
48,15,1
33,4,1
40,62,1
48,14,1
32,2,1
31,19,1
58,16,1
41,17,1
46,12,1
52,15,1
39,63,1
49,13,1
31,3,1
40,21,1
44,22,1
37,19,1
35,21,1
40,0,1
29,63,1
43,21,1
50,8,1
30,1,1
45,27,1
39,0,1
38,23,1
23,61,1
47,14,1
36,18,1
55,16,1
39,20,1
44,21,1
42,25,1
48,13,1
38,20,1
53,7,1
30,0,1
23,1,1
22,61,1
21,61,1
39,19,1
42,17,1
46,19,1
37,24,1
42,26,1
40,61,1
33,2,1
50,10,1
43,24,1
53,15,1
53,16,1
39,59,1
22,0,1
44,10,1
42,23,1
39,21,1
58,14,1
29,15,1
47,13,1
39,61,1
30,15,1
44,27,1
47,12,1
39,22,1
45,12,1
36,21,1
38,37,2
27,40,2
14,52,2
40,39,2
42,38,2
27,43,2
23,44,2
2,35,2
16,49,2
42,39,2
10,32,2
12,53,2
21,44,2
3,35,2
39,41,2
26,41,2
11,33,2
13,33,2
6,34,2
19,61,2
7,33,2
11,53,2
25,45,2
29,38,2
17,62,2
14,48,2
11,34,2
10,55,2
3,34,2
32,36,2
21,43,2
18,57,2
40,39,2
2,34,2
14,51,2
20,60,2
26,36,2
17,58,2
24,41,2
38,41,2
4,35,2
19,59,2
21,45,2
13,52,2
28,35,2
26,38,2
17,57,2
15,49,2
41,39,2
26,43,2
39,40,2
8,34,2
30,37,2
22,45,2
8,33,2
22,40,2
24,36,2
25,41,2
9,55,2
11,52,2
7,38,2
19,63,2
1,36,2
31,38,2
11,37,2
37,39,2
2,36,2
18,62,2
9,37,2
42,41,2
15,48,2
30,39,2
38,41,2
8,39,2
22,44,2
37,38,2
43,40,2
21,47,2
8,36,2
41,42,2
18,61,2
18,59,2
25,40,2
25,39,2
9,36,2
19,60,2
8,39,2
28,38,2
25,38,2
8,35,2
29,40,2
23,41,2
38,39,2
5,31,2
9,53,2
30,38,2
12,33,2
35,42,2
9,54,2
4,31,2
17,36,3
13,35,3
18,38,3
16,12,3
17,41,3
19,10,3
16,39,3
28,10,3
18,10,3
12,37,3
33,25,3
23,18,3
24,12,3
17,8,3
30,23,3
15,11,3
34,29,3
19,13,3
21,18,3
19,14,3
16,35,3
24,13,3
16,40,3
22,9,3
17,10,3
22,13,3
21,8,3
14,38,3
34,31,3
19,7,3
30,26,3
18,13,3
34,28,3
22,17,3
14,20,3
17,12,3
13,36,3
15,34,3
17,7,3
25,11,3
12,20,3
30,24,3
29,25,3
20,5,3
28,9,3
27,12,3
30,31,3
26,24,3
21,12,3
22,19,3
16,10,3
28,24,3
20,38,3
35,28,3
16,40,3
19,15,3
29,24,3
32,27,3
26,14,3
20,15,3
33,26,3
29,8,3
21,16,3
26,12,3
24,11,3
13,35,3
27,10,3
20,8,3
16,38,3
27,11,3
22,12,3
15,14,3
29,11,3
27,23,3
21,9,3
20,7,3
13,20,3
19,5,3
18,36,3
33,30,3
12,37,3
22,10,3
23,8,3
21,6,3
13,37,3
17,6,3
18,5,3
27,13,3
14,36,3
12,21,3
32,28,3
24,18,3
19,37,3
16,33,3
31,26,3
22,6,3
20,9,3
22,11,3
16,13,3
33,28,3
