x,y,label
28,10,0
50,17,0
27,58,0
18,31,0
46,14,0
49,49,0
35,43,0
47,63,0
40,18,0
20,59,0
50,56,0
25,12,0
31,18,0
42,62,0
26,47,0
42,56,0
63,10,0
56,46,0
63,32,0
49,23,0
6,63,0
53,34,0
28,32,0
46,37,0
9,54,0
15,22,0
61,7,0
26,61,0
46,59,0
37,41,0
3,50,0
29,34,0
49,27,0
11,32,0
36,3,0
22,58,0
32,42,0
10,33,0
40,28,0
23,14,0
31,62,0
29,57,0
45,40,0
39,12,0
36,50,0
53,23,0
36,18,0
62,5,0
59,37,0
53,15,0
17,11,0
12,47,0
4,56,0
54,24,0
15,8,0
50,36,0
48,19,0
5,14,0
10,2,0
6,33,0
8,33,0
32,48,0
3,53,0
20,8,0
37,15,0
61,35,0
15,33,0
24,30,0
57,17,0
3,45,0
24,12,0
5,29,0
15,59,0
27,62,0
2,36,0
33,45,0
48,28,0
41,3,0
39,19,0
55,2,0
44,4,0
38,45,0
4,47,0
8,28,0
57,10,0
13,15,0
26,52,0
38,3,0
4,42,0
42,3,0
32,61,0
56,1,0
45,4,0
30,37,0
0,14,0
57,37,0
8,26,0
30,22,0
23,11,0
57,1,0
52,58,1
56,62,1
26,45,1
43,2,1
61,58,1
42,21,1
21,3,1
30,14,1
41,2,1
37,33,1
51,33,1
27,14,1
63,4,1
25,24,1
20,42,1
60,57,1
22,52,1
40,20,1
43,4,1
12,43,1
29,10,1
39,18,1
63,27,1
11,35,1
20,4,1
33,52,1
44,29,1
45,6,1
16,33,1
19,63,1
32,60,1
26,27,1
59,38,1
49,30,1
31,48,1
47,13,1
18,28,1
31,29,1
0,50,1
60,44,1
37,16,1
57,47,1
45,2,1
4,43,1
26,18,1
12,41,1
39,34,1
1,36,1
43,55,1
27,4,1
63,24,1
29,16,1
35,24,1
27,31,1
30,48,1
58,15,1
37,17,1
55,58,1
62,55,1
42,38,1
37,2,1
12,60,1
47,2,1
56,60,1
45,16,1
46,46,1
19,37,1
29,28,1
26,37,1
34,62,1
34,60,1
12,54,1
28,44,1
34,61,1
39,37,1
39,29,1
57,23,1
28,34,1
1,4,1
7,11,1
10,25,1
51,4,1
35,62,1
56,25,1
61,44,1
60,36,1
20,63,1
58,7,1
18,12,1
2,33,1
48,52,1
1,58,1
30,57,1
3,1,1
54,57,1
11,57,1
49,47,1
54,12,1
53,47,1
21,20,1
50,55,2
60,32,2
13,44,2
14,23,2
32,12,2
32,11,2
27,17,2
9,3,2
34,17,2
14,46,2
53,25,2
48,21,2
22,55,2
28,6,2
42,6,2
11,33,2
33,8,2
12,12,2
26,53,2
3,39,2
0,19,2
50,3,2
55,14,2
2,43,2
22,18,2
19,32,2
57,32,2
9,38,2
53,6,2
4,41,2
13,30,2
63,14,2
60,15,2
51,27,2
24,51,2
23,62,2
1,2,2
20,12,2
11,7,2
22,13,2
44,55,2
19,54,2
24,1,2
9,24,2
7,22,2
6,11,2
46,28,2
61,13,2
57,14,2
48,20,2
59,63,2
57,43,2
40,36,2
6,15,2
23,8,2
7,5,2
6,1,2
11,49,2
31,34,2
37,37,2
58,50,2
21,55,2
34,29,2
36,22,2
28,42,2
16,30,2
37,45,2
41,41,2
60,62,2
59,41,2
32,41,2
45,51,2
27,39,2
41,30,2
63,13,2
62,13,2
48,4,2
2,9,2
34,57,2
59,19,2
0,56,2
27,37,2
23,2,2
50,61,2
58,26,2
38,41,2
25,18,2
60,47,2
50,2,2
49,52,2
55,24,2
8,43,2
26,57,2
7,10,2
45,48,2
21,7,2
1,24,2
50,52,2
43,1,2
58,14,2
8,41,3
10,13,3
63,40,3
36,58,3
6,42,3
21,1,3
40,34,3
5,61,3
46,61,3
26,21,3
32,54,3
2,40,3
5,53,3
61,8,3
49,11,3
49,20,3
46,38,3
3,15,3
54,14,3
11,55,3
61,63,3
40,14,3
45,9,3
61,57,3
45,7,3
4,26,3
35,26,3
49,41,3
55,22,3
18,7,3
8,38,3
30,45,3
10,8,3
63,51,3
62,24,3
9,41,3
26,5,3
60,37,3
47,47,3
9,28,3
43,22,3
63,56,3
34,18,3
38,43,3
14,5,3
20,15,3
62,61,3
8,0,3
57,30,3
52,19,3
2,0,3
21,25,3
50,42,3
39,51,3
55,36,3
35,4,3
55,9,3
5,38,3
53,30,3
57,34,3
26,9,3
43,38,3
58,31,3
1,31,3
38,25,3
26,58,3
41,47,3
29,60,3
17,13,3
32,5,3
40,57,3
7,9,3
48,39,3
42,23,3
34,59,3
45,17,3
40,11,3
30,31,3
28,19,3
24,0,3
19,41,3
26,51,3
44,36,3
63,23,3
3,19,3
20,51,3
36,19,3
47,15,3
7,8,3
12,38,3
25,45,3
25,6,3
31,39,3
5,57,3
38,53,3
53,28,3
37,62,3
4,44,3
53,11,3
41,28,3
