x,y,label
20,25,0
16,27,0
26,23,0
14,13,0
16,17,0
28,12,0
19,23,0
3,2,0
9,27,0
8,0,0
1,10,0
14,2,0
26,36,0
23,38,0
36,39,0
3,16,0
39,25,0
24,26,0
25,38,0
27,34,0
28,25,0
14,21,0
31,29,0
34,18,0
27,22,0
39,10,0
17,11,0
26,39,0
10,24,0
37,33,0
15,18,0
37,1,0
2,33,0
25,8,0
5,37,0
38,39,0
2,2,0
3,13,0
18,30,0
1,36,0
26,21,1
2,29,1
34,34,1
31,30,1
24,9,1
26,33,1
37,19,1
11,6,1
22,25,1
1,11,1
15,20,1
10,29,1
34,30,1
37,17,1
16,24,1
28,8,1
35,19,1
5,5,1
29,17,1
36,32,1
6,5,1
22,26,1
35,22,1
4,37,1
5,31,1
3,34,1
36,23,1
14,15,1
22,36,1
3,30,1
23,20,1
8,29,1
13,31,1
22,29,1
0,29,1
34,17,1
25,2,1
13,24,1
5,14,1
7,15,1
25,10,2
7,17,2
32,8,2
39,0,2
14,1,2
33,14,2
29,34,2
7,9,2
14,31,2
33,17,2
17,38,2
17,23,2
17,24,2
31,21,2
15,33,2
11,36,2
13,9,2
15,26,2
38,12,2
8,26,2
6,27,2
18,36,2
2,22,2
36,8,2
24,18,2
27,27,2
21,10,2
29,31,2
2,10,2
4,20,2
26,14,2
13,28,2
25,28,2
21,19,2
29,26,2
15,1,2
9,11,2
24,22,2
38,15,2
0,30,2
4,2,3
9,30,3
6,30,3
30,8,3
6,38,3
32,16,3
37,30,3
34,4,3
1,12,3
30,31,3
8,12,3
1,6,3
5,25,3
10,2,3
34,33,3
8,31,3
15,8,3
37,29,3
5,13,3
0,39,3
28,22,3
35,16,3
7,8,3
21,31,3
9,8,3
19,0,3
17,30,3
37,0,3
18,20,3
21,14,3
12,32,3
14,35,3
17,3,3
23,15,3
26,19,3
16,6,3
36,19,3
3,15,3
16,20,3
32,30,3
19,6,4
27,11,4
39,26,4
24,36,4
39,24,4
2,0,4
8,35,4
21,34,4
37,6,4
3,1,4
21,5,4
18,39,4
0,23,4
22,33,4
3,9,4
3,23,4
0,7,4
38,5,4
29,33,4
23,7,4
11,22,4
38,8,4
1,16,4
8,3,4
13,34,4
39,2,4
32,22,4
5,9,4
26,28,4
17,2,4
34,12,4
30,24,4
7,12,4
0,27,4
15,27,4
21,38,4
17,13,4
37,32,4
33,8,4
25,32,4
7,14,5
9,13,5
8,17,5
5,21,5
39,7,5
31,31,5
20,12,5
24,5,5
2,8,5
31,15,5
4,27,5
1,20,5
16,31,5
13,1,5
15,5,5
9,0,5
33,11,5
29,2,5
33,30,5
37,39,5
12,11,5
30,36,5
38,36,5
34,1,5
12,33,5
29,9,5
32,14,5
11,35,5
2,1,5
8,7,5
25,23,5
32,5,5
2,14,5
24,16,5
28,21,5
29,22,5
19,17,5
32,27,5
0,11,5
18,7,5
11,20,6
33,19,6
30,37,6
19,26,6
23,39,6
36,4,6
36,38,6
24,12,6
5,20,6
9,7,6
32,11,6
38,20,6
9,33,6
21,33,6
26,7,6
39,31,6
5,24,6
35,0,6
27,7,6
12,35,6
14,37,6
21,21,6
30,20,6
9,16,6
28,10,6
27,33,6
19,1,6
18,5,6
14,33,6
30,13,6
26,38,6
0,5,6
19,31,6
26,11,6
16,35,6
32,25,6
27,26,6
29,10,6
15,36,6
27,0,6
25,27,7
31,38,7
12,20,7
12,18,7
7,37,7
35,27,7
3,29,7
18,23,7
22,19,7
35,25,7
10,18,7
34,6,7
35,37,7
27,19,7
28,2,7
30,3,7
27,31,7
23,18,7
10,23,7
21,1,7
30,33,7
1,1,7
6,14,7
39,4,7
24,14,7
3,37,7
13,0,7
22,18,7
10,9,7
1,33,7
16,15,7
17,1,7
31,6,7
20,18,7
31,11,7
11,32,7
7,31,7
32,4,7
17,6,7
10,35,7
21,8,8
38,35,8
6,8,8
0,20,8
2,27,8
19,3,8
21,27,8
37,37,8
24,37,8
38,33,8
30,0,8
19,22,8
8,15,8
6,32,8
0,13,8
20,15,8
2,37,8
8,1,8
21,12,8
10,7,8
33,7,8
14,5,8
39,39,8
15,35,8
36,30,8
21,16,8
36,26,8
23,36,8
19,4,8
6,15,8
12,14,8
26,32,8
10,21,8
38,18,8
9,12,8
4,24,8
12,3,8
7,27,8
29,25,8
20,10,8
28,39,9
23,3,9
34,20,9
36,35,9
9,25,9
0,33,9
22,16,9
16,39,9
38,32,9
24,13,9
25,1,9
19,11,9
1,35,9
33,35,9
7,11,9
0,15,9
6,16,9
28,4,9
24,7,9
26,6,9
33,28,9
27,30,9
37,21,9
19,36,9
16,29,9
14,24,9
38,38,9
7,30,9
33,6,9
14,3,9
17,12,9
28,14,9
6,33,9
5,18,9
31,26,9
21,17,9
23,24,9
11,7,9
2,9,9
13,26,9
19,33,10
30,32,10
1,18,10
34,14,10
0,21,10
1,21,10
12,38,10
27,23,10
8,19,10
15,34,10
16,4,10
21,24,10
11,16,10
33,1,10
34,38,10
9,2,10
32,21,10
11,31,10
8,6,10
34,3,10
0,36,10
13,7,10
5,23,10
22,30,10
34,26,10
8,13,10
15,7,10
18,27,10
25,12,10
36,3,10
23,2,10
6,11,10
36,11,10
15,10,10
19,34,10
13,12,10
7,35,10
14,8,10
19,5,10
9,9,10
6,25,11
11,23,11
39,19,11
21,35,11
19,2,11
7,38,11
9,35,11
5,3,11
2,26,11
3,3,11
16,3,11
8,27,11
11,25,11
36,31,11
5,22,11
1,7,11
2,28,11
24,35,11
35,36,11
3,12,11
32,2,11
4,29,11
19,8,11
25,20,11
8,28,11
10,32,11
17,27,11
0,17,11
35,39,11
32,13,11
38,2,11
13,36,11
27,9,11
38,17,11
6,39,11
39,21,11
10,11,11
11,15,11
16,8,11
26,31,11
36,13,12
11,9,12
34,2,12
0,22,12
32,12,12
24,21,12
26,9,12
16,12,12
23,4,12
5,2,12
13,5,12
8,22,12
12,27,12
21,7,12
10,33,12
26,8,12
28,37,12
22,27,12
15,29,12
6,28,12
